id_ulasan,nama_pengguna,isi_ulasan,bintang,tanggal_ulasan,jumlah_like,sentimen,teks_bersih
3ac55575-2f6b-4936-8907-a00dd4e78282,Aris47 aris,Bagus .udh d donlot tapi gk bisa d buka d oppo a73f,4,2026-02-25 22:37:40,0,Positif,bagus donlot buka oppo af
f7624966-6557-49f3-b65a-704bd22363e5,Tidak Ada,transaksi mudah,5,2026-02-25 22:36:23,0,Positif,transaksi mudah
f22c7eec-86a2-472a-97b0-c5ca9db883e0,gondes jos,mantap,5,2026-02-25 22:35:55,0,Positif,mantap
c9dc1180-06a9-455b-a6f7-ae3c535f3b91,ikall ganteng,"kok dana gini sih, transaksi berhasil tpi paket data belum masuk? hadeh uang saya sia sia. gimana solusinya tanya diana pun sama saja.",1,2026-02-25 22:35:36,0,Negatif,dana gin sih transaksi hasil paket data hadeh uang sia sia solusi ana
aaa164e9-f6ab-4d93-beae-e2031461abed,Ari Nuraini,"aplikasi tolol,setip ada saldonya ngelag mulu,gabisa kebuka sialan,giliran kosong lancar lancar aja dibukanya,yg bener dikit napa,nyusahin.",1,2026-02-25 22:35:11,0,Negatif,aplikasi tolol setip saldo ngelag mulu gabisa buka sial gilir kosong lancar lancar buka bener dikit napa nyusahin
64ade949-57f6-4176-a50b-092688bc051f,Iyoky Iyoky,sangat ok,5,2026-02-25 22:34:53,0,Positif,ok
fc01f134-4cb4-45bb-a8c8-4e01db9442e7,jannatusysyauqy jannatusysyauqy,"jelek banget 24 jam login pas mau masuk tidak bisa lagi, padahal udah update dan lain-lain tapi hasilnya nihil sedih padahal ada saldo di dalamnya",1,2026-02-25 22:34:19,0,Negatif,jelek jam login pas update hasil nihil sedih saldo dalam
f577cc28-08eb-4ebc-a197-65c067c7010d,Najarudin Koko,mudah,5,2026-02-25 22:32:46,0,Positif,mudah
315d18e7-e716-4abc-a51d-54b5d23de7f6,Muhammad Amin,Mau update ke premium malah tidak terdeteksi mulu sering gangguan mulu,3,2026-02-25 22:30:44,0,Netral,update premium deteksi mulu ganggu mulu
9b0bce4d-90d8-4b89-8dfa-41a51c2ad920,Sumali Sumali,aplikasi ok sat set ..,5,2026-02-25 22:30:18,0,Positif,aplikasi ok sat set
bbcc9318-0c45-4852-9fce-a392debf1ccd,Yuda,bagus,5,2026-02-25 22:30:04,0,Positif,bagus
2d4faa72-804f-42f9-95e4-808b537f0fb2,Rivaldi Nanu,"kerja sampai sampai sukses,dan ingin menjadi nomor 1",5,2026-02-25 22:29:43,0,Positif,sukses nomor
469b27fc-7f88-4df8-8a3e-4dd20e38a36e,Lastri Lestari,nyata cepetnya,1,2026-02-25 22:25:03,0,Negatif,cepetnya
a3e3d485-f2a2-4fc1-80bc-37c6fa69348b,Sudirman Immank,sangat membantu,5,2026-02-25 22:23:09,0,Positif,bantu
b3b31eea-97df-4b08-af7a-3d5a5f89b060,Ibnu Hakiki,lag terus aplikasinya,5,2026-02-25 22:22:35,0,Positif,lag aplikasi
e7f79dab-5358-43f8-81af-eb216a4572dd,Jefli Ktp,sangat puas bertransaksi di dana,5,2026-02-25 22:21:35,0,Positif,puas transaksi dana
858d8db5-68ca-479e-97c5-e3f30dd657d1,Andreassanto Santo,kata nya akun dana bisa pinjami modal tp sy cb tetap tidak ada bukti nya,5,2026-02-25 22:21:16,0,Positif,akun dana pinjam modal cb bukti
