id_ulasan,nama_pengguna,isi_ulasan,bintang,tanggal_ulasan,jumlah_like,sentimen
3ac55575-2f6b-4936-8907-a00dd4e78282,Aris47 aris,Bagus .udh d donlot tapi gk bisa d buka d oppo a73f,4,2026-02-25 22:37:40,0,Positif
f7624966-6557-49f3-b65a-704bd22363e5,Tidak Ada,transaksi mudah,5,2026-02-25 22:36:23,0,Positif
f22c7eec-86a2-472a-97b0-c5ca9db883e0,gondes jos,mantap,5,2026-02-25 22:35:55,0,Positif
c9dc1180-06a9-455b-a6f7-ae3c535f3b91,ikall ganteng,"kok dana gini sih, transaksi berhasil tpi paket data belum masuk? hadeh uang saya sia sia. gimana solusinya tanya diana pun sama saja.",1,2026-02-25 22:35:36,0,Negatif
aaa164e9-f6ab-4d93-beae-e2031461abed,Ari Nuraini,"aplikasi tolol,setip ada saldonya ngelag mulu,gabisa kebuka sialan,giliran kosong lancar lancar aja dibukanya,yg bener dikit napa,nyusahin.",1,2026-02-25 22:35:11,0,Negatif
64ade949-57f6-4176-a50b-092688bc051f,Iyoky Iyoky,sangat ok,5,2026-02-25 22:34:53,0,Positif
fc01f134-4cb4-45bb-a8c8-4e01db9442e7,jannatusysyauqy jannatusysyauqy,"jelek banget 24 jam login pas mau masuk tidak bisa lagi, padahal udah update dan lain-lain tapi hasilnya nihil sedih padahal ada saldo di dalamnya",1,2026-02-25 22:34:19,0,Negatif
f577cc28-08eb-4ebc-a197-65c067c7010d,Najarudin Koko,mudah,5,2026-02-25 22:32:46,0,Positif
315d18e7-e716-4abc-a51d-54b5d23de7f6,Muhammad Amin,Mau update ke premium malah tidak terdeteksi mulu sering gangguan mulu,3,2026-02-25 22:30:44,0,Netral
9b0bce4d-90d8-4b89-8dfa-41a51c2ad920,Sumali Sumali,aplikasi ok sat set ..,5,2026-02-25 22:30:18,0,Positif
bbcc9318-0c45-4852-9fce-a392debf1ccd,Yuda,bagus,5,2026-02-25 22:30:04,0,Positif
2d4faa72-804f-42f9-95e4-808b537f0fb2,Rivaldi Nanu,"kerja sampai sampai sukses,dan ingin menjadi nomor 1",5,2026-02-25 22:29:43,0,Positif
469b27fc-7f88-4df8-8a3e-4dd20e38a36e,Lastri Lestari,nyata cepetnya,1,2026-02-25 22:25:03,0,Negatif
a3e3d485-f2a2-4fc1-80bc-37c6fa69348b,Sudirman Immank,sangat membantu,5,2026-02-25 22:23:09,0,Positif
b3b31eea-97df-4b08-af7a-3d5a5f89b060,Ibnu Hakiki,lag terus aplikasinya,5,2026-02-25 22:22:35,0,Positif
e7f79dab-5358-43f8-81af-eb216a4572dd,Jefli Ktp,sangat puas bertransaksi di dana,5,2026-02-25 22:21:35,0,Positif
858d8db5-68ca-479e-97c5-e3f30dd657d1,Andreassanto Santo,kata nya akun dana bisa pinjami modal tp sy cb tetap tidak ada bukti nya,5,2026-02-25 22:21:16,0,Positif
b51eec2c-49b8-48ca-b5a8-b19e5d37cba4,Halak Hita,dana gak jejas,1,2026-02-25 22:19:29,0,Negatif
664ca76d-6ae5-40e7-9fe0-208d3d94eea9,Iim Imriti,makin sini eror mulu nih aplikasi nya parah,1,2026-02-25 22:19:20,0,Negatif
f08a5d7c-105a-4680-9bbb-7668e03bbb0b,P.fian Saudik,bagus,5,2026-02-25 22:19:12,0,Positif
7b9055cb-f343-4f38-942d-37505b4da439,Watylist,"Real mempermudah hidup,terimakasih dana",5,2026-02-25 22:16:52,0,Positif
4844e18c-df81-42c1-b9a4-57c7a6d007ea,Rahmat,sudah saya coba Saranya beberapa kali tetep saja susah masuk. kirim tangkapan layar gimana sedangkan masuk aja susah. bisa masuk kalo intal ulang. seterusnya kaya gitu lagi,5,2026-02-25 22:14:32,0,Positif
13da2095-436e-4ea1-8e67-9925b6809cf0,Dimas Catur,sangat praktis,5,2026-02-25 22:13:21,0,Positif
9427347f-766b-4f2d-9a65-9b0c9fc9211f,Beni Awan,baik,5,2026-02-25 22:13:17,0,Positif
35037594-89b6-48bc-9534-929802fbe006,Atep Yan sopian,tolong limit smartpay nya di aktip kan kembali,5,2026-02-25 22:07:47,0,Positif
1dcd6f2a-ced7-4ee2-8aab-7b4d10c1b606,Fahmi,nice,5,2026-02-25 22:07:42,0,Positif
c4d90479-4542-407a-8f61-828788d74627,MSyaiful anam,sangat membantu,4,2026-02-25 22:05:45,0,Positif
ce67d021-b545-41f9-b2e7-7d261f4f1ba6,Deni,sa ga bisa instal,5,2026-02-25 22:05:23,0,Positif
db193332-6677-4e24-9e09-148244e170d7,Jawara Udien,sngat membantu,5,2026-02-25 22:04:30,0,Positif
eae12b5a-7f36-4ed8-85ef-7bbafca6a090,Ade Seno,oke,5,2026-02-25 22:04:05,0,Positif
d4a50c65-c049-4fab-9ef2-7c4ffc69620e,bening sf,habis update malah jadi TOLOL aplikasinya,1,2026-02-25 22:02:52,0,Negatif
8d3bf89a-76ce-4abb-a3b3-68a673b6016a,Abu Hanifah,bagus.....,4,2026-02-25 22:01:59,0,Positif
